Model: InDuDoNetPlus - Image Quality Evaluation by Metal Size
Date: 2025-05-12 15:39:11
Results Base Directory: /home/mcosta/PycharmProjects/InDuDoNet_plus/results/deeplesion
Structure: Nested (GT: Xgt, ModelOut: X)
Forced HU eval for image files: True
HU eval range used: [-1000, 3000]
Total files iterated: 2000
Total files with metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.18 ± 3.84         0.9760 ± 0.0066                 N/A                   N/A
Large-Med   ({688, 1329}px)     400       38.35 ± 3.75         0.9849 ± 0.0041                 N/A                   N/A
Medium      ({182, 371}px)      400       43.64 ± 3.13         0.9911 ± 0.0021                 N/A                   N/A
Med-Small   ({171, 180}px)      400       46.19 ± 2.44         0.9929 ± 0.0020                 N/A                   N/A
Small       ({54, 84}px)        400       46.33 ± 1.84         0.9932 ± 0.0013                 N/A                   N/A
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all successfully processed files) ---
PSNR(img): 41.94 ± 5.42 (from 2000 images)
SSIM(img): 0.9876 ± 0.0076
PSNR(hu): N/A (no valid HU data processed)
SSIM(hu): N/A (no valid HU data processed)

--- Individual File Metrics Log ---
Identifier                     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
img_008/mask_02.png                  1      1338      G5       40.23      0.9845         nan         nan
img_008/mask_03.png                  2       688      G4       41.63      0.9887         nan         nan
img_008/mask_04.png                  3        84      G1       49.10      0.9947         nan         nan
img_008/mask_05.png                  4       171      G2       49.91      0.9957         nan         nan
img_008/mask_06.png                  5        54      G1       48.47      0.9947         nan         nan
img_008/mask_07.png                  6      1329      G4       41.66      0.9892         nan         nan
img_008/mask_08.png                  7      3119      G5       38.87      0.9805         nan         nan
img_008/mask_09.png                  8       182      G3       45.69      0.9933         nan         nan
img_008/mask_10.png                  9       180      G2       46.06      0.9933         nan         nan
img_009/mask_01.png                  0       371      G3       44.37      0.9930         nan         nan
img_009/mask_02.png                  1      1338      G5       33.11      0.9817         nan         nan
img_009/mask_03.png                  2       688      G4       36.12      0.9868         nan         nan
img_009/mask_04.png                  3        84      G1       45.24      0.9946         nan         nan
img_009/mask_05.png                  4       171      G2       46.72      0.9959         nan         nan
img_009/mask_06.png                  5        54      G1       47.97      0.9949         nan         nan
img_009/mask_07.png                  6      1329      G4       42.14      0.9911         nan         nan
img_009/mask_08.png                  7      3119      G5       39.02      0.9832         nan         nan
img_009/mask_09.png                  8       182      G3       44.59      0.9937         nan         nan
img_009/mask_10.png                  9       180      G2       45.68      0.9937         nan         nan
img_010/mask_01.png                  0       371      G3       42.22      0.9873         nan         nan
img_010/mask_02.png                  1      1338      G5       35.18      0.9708         nan         nan
img_010/mask_03.png                  2       688      G4       39.98      0.9813         nan         nan
img_010/mask_04.png                  3        84      G1       46.23      0.9898         nan         nan
